,unit,carriage,destination,origin,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
2239,MIO_TKM,OWN,MC,ES,,,,,,,,,,
2240,MIO_TKM,OWN,MC,IT,0.0,0.0,2.0,2.0,1.0,,0.0,0.0,,
2241,MIO_TKM,OWN,MD,CZ,,,,,,,17.0,,,
2242,MIO_TKM,OWN,MD,DE,,,11.0,,,,,,,
2243,MIO_TKM,OWN,MD,FI,,14.0,,1.0,,,,,,
2244,MIO_TKM,OWN,MD,HU,,,,,,,,0.0,,
2245,MIO_TKM,OWN,MD,LT,,,,,,,,,,
2246,MIO_TKM,OWN,MD,PL,,,,,,,,,,
2247,MIO_TKM,OWN,MD,RO,9.0,10.0,,11.0,7.0,19.0,11.0,6.0,,
2248,MIO_TKM,OWN,ME,HR,8.0,0.0,10.0,6.0,5.0,2.0,5.0,3.0,3.0,10.0
2249,MIO_TKM,OWN,ME,HU,,,,,0.0,5.0,,,3.0,
2250,MIO_TKM,OWN,ME,IT,,,1.0,,,,,,,
2251,MIO_TKM,OWN,ME,RO,,,3.0,,,,,,,
2252,MIO_TKM,OWN,ME,SI,,,,1.0,1.0,,,,,
2253,MIO_TKM,OWN,MK,AT,,,,,,,,,,
2254,MIO_TKM,OWN,MK,BG,19.0,18.0,,25.0,25.0,,74.0,,30.0,5.0
2255,MIO_TKM,OWN,MK,DE,,,,,,,,,,
2256,MIO_TKM,OWN,MK,EL,,,,,,,,,,
2257,MIO_TKM,OWN,MK,HR,,,,,,,,,,3.0
2258,MIO_TKM,OWN,MK,LU,,,,,,,,,,1.0
2259,MIO_TKM,OWN,MK,RO,,,,,5.0,,0.0,,,
2260,MIO_TKM,OWN,MK,SI,,,,,,,,,2.0,
2261,MIO_TKM,OWN,MT,IT,,,,,,,,,,
