freq,unit,tra_meas,rep_airp,partner\TIME_PERIOD	2019-Q4 
Q,T,FRM_BRD,TR_LTFJ,EU28	0 
Q,T,FRM_BRD,TR_LTFM,EU28	0 
Q,T,FRM_BRD,UK_EGAA,EU28	9675 
Q,T,FRM_BRD,UK_EGAC,EU28	56 
Q,T,FRM_BRD,UK_EGAE,EU28	0 
Q,T,FRM_BRD,UK_EGBB,EU28	3244 
Q,T,FRM_BRD,UK_EGCC,EU28	1662 
Q,T,FRM_BRD,UK_EGCN,EU28	161 
Q,T,FRM_BRD,UK_EGEC,EU28	0 
Q,T,FRM_BRD,UK_EGET,EU28	0 
Q,T,FRM_BRD,UK_EGFF,EU28	0 
Q,T,FRM_BRD,UK_EGGD,EU28	4 
Q,T,FRM_BRD,UK_EGGP,EU28	186 
Q,T,FRM_BRD,UK_EGGW,EU28	10488 
Q,T,FRM_BRD,UK_EGHH,EU28	0 
Q,T,FRM_BRD,UK_EGHI,EU28	73 
Q,T,FRM_BRD,UK_EGHQ,EU28	1 
Q,T,FRM_BRD,UK_EGKB,EU28	0 
Q,T,FRM_BRD,UK_EGKK,EU28	1649 
Q,T,FRM_BRD,UK_EGLC,EU28	23 
Q,T,FRM_BRD,UK_EGLL,EU28	29647 
Q,T,FRM_BRD,UK_EGMC,EU28	0 
Q,T,FRM_BRD,UK_EGNH,EU28	0 
Q,T,FRM_BRD,UK_EGNJ,EU28	22 
Q,T,FRM_BRD,UK_EGNM,EU28	0 
Q,T,FRM_BRD,UK_EGNT,EU28	237 
Q,T,FRM_BRD,UK_EGNV,EU28	0 
Q,T,FRM_BRD,UK_EGNX,EU28	81700 
Q,T,FRM_BRD,UK_EGPA,EU28	13 
Q,T,FRM_BRD,UK_EGPB,EU28	80 
Q,T,FRM_BRD,UK_EGPC,EU28	0 
Q,T,FRM_BRD,UK_EGPD,EU28	1751 
Q,T,FRM_BRD,UK_EGPE,EU28	403 
Q,T,FRM_BRD,UK_EGPF,EU28	331 
Q,T,FRM_BRD,UK_EGPH,EU28	10909 
Q,T,FRM_BRD,UK_EGPI,EU28	89 
Q,T,FRM_BRD,UK_EGPK,EU28	1090 
Q,T,FRM_BRD,UK_EGPL,EU28	33 
Q,T,FRM_BRD,UK_EGPM,EU28	67 
Q,T,FRM_BRD,UK_EGPN,EU28	0 
Q,T,FRM_BRD,UK_EGPO,EU28	128 
Q,T,FRM_BRD,UK_EGPR,EU28	3 
Q,T,FRM_BRD,UK_EGPU,EU28	15 
Q,T,FRM_BRD,UK_EGSH,EU28	63 
Q,T,FRM_BRD,UK_EGSS,EU28	27362 
Q,T,FRM_BRD,UK_EGTE,EU28	934 
